Date,Low,High,Open,Close,Volume
1528968660,6489.549805,6489.560059,6489.560059,6489.549805,0.5871
1528968720,6487.370117,6489.560059,6489.549805,6487.379883,7.706374
1528968780,6479.410156,6487.370117,6487.370117,6479.410156,3.088252
1528968840,6479.410156,6479.419922,6479.419922,6479.410156,1.4041
1528968900,6475.930176,6479.97998,6479.410156,6479.97998,0.753
1528968960,6477.959961,6480,6477.959961,6480,1.4909
1528969020,6477.220215,6480,6479.990234,6477.220215,2.73195
1528969080,6477.220215,6480,6477.220215,6480,2.17424
1528969140,6479.990234,6479.990234,6479.990234,6479.990234,0.9031
1528969200,6477.259766,6479.990234,6479.990234,6478.660156,3.258786
1528969260,6478.649902,6478.660156,6478.660156,6478.660156,1.970352
1528969320,6478.660156,6479.339844,6478.660156,6479.339844,3.056897
1528969380,6479.339844,6479.350098,6479.339844,6479.350098,0.89816
1528969440,6479.990234,6480,6480,6479.990234,0.7821
1528969500,6479.990234,6481.899902,6480,6481.890137,1.822273
1528969560,6481.899902,6485,6481.899902,6484.709961,2.310769
1528969620,6484.709961,6484.720215,6484.720215,6484.709961,0.428325
1528969680,6484.709961,6485,6484.709961,6485,1.0785
1528969740,6484.990234,6485,6484.990234,6485,0.581074
1528969800,6485,6485,6485,6485,16.805962
1528969860,6485,6490,6485,6489.990234,5.383897
1528969920,6486.359863,6490,6490,6486.359863,1.0656
1528969980,6486.370117,6489.939941,6486.370117,6487.259766,0.602759
1528970040,6487.259766,6487.27002,6487.259766,6487.27002,0.4276
1528970100,6487.27002,6490,6487.27002,6490,0.516043
1528970160,6489.990234,6490,6490,6490,0.742156
1528970220,6489.990234,6492.680176,6490,6492.680176,2.826323
1528970280,6492.669922,6494.990234,6492.680176,6494.990234,0.759167
1528970340,6489.589844,6494.990234,6494.990234,6494.450195,3.645221
1528970400,6494.970215,6494.990234,6494.970215,6494.990234,0.930206
1528970460,6494.97998,6494.990234,6494.990234,6494.97998,4.70561
1528970520,6494.97998,6495,6494.990234,6494.990234,5.086788
1528970580,6495,6498.180176,6495,6498.180176,1.201233
1528970640,6497.169922,6500,6498.180176,6497.180176,4.011363
1528970700,6494.47998,6497.180176,6497.180176,6495,8.22417
1528970760,6494.990234,6495,6495,6495,3.910896
1528970820,6494.990234,6495,6495,6495,4.066974
1528970880,6494.990234,6495,6495,6495,1.671439
1528970940,6494.990234,6495,6495,6495,7.951144
1528971000,6495.009766,6499.779785,6495.009766,6496.350098,0.312556
1528971060,6496.359863,6499.77002,6496.359863,6499.77002,1.289156
1528971120,6496.370117,6499.919922,6496.370117,6499.919922,0.6352
1528971180,6496.399902,6499.169922,6496.399902,6497.790039,3.758734
1528971240,6495,6499,6497.799805,6495,11.125656
1528971300,6494.990234,6495,6495,6495,0.470743
1528971360,6490.720215,6495,6494.990234,6495,4.190621
1528971420,6494.990234,6495.879883,6495,6495.879883,0.961181
1528971480,6495.870117,6498.990234,6495.879883,6498.990234,6.368838
1528971540,6494.990234,6498.97998,6498.97998,6495,29.654196
1528971600,6494.990234,6495,6495,6495,10.128285
1528971660,6495,6496.169922,6495,6496.169922,4.865314
1528971720,6495.22998,6496.160156,6496.160156,6495.22998,3.77468
1528971780,6494.990234,6495.22998,6495.22998,6495,6.35323
1528971840,6494.990234,6495,6494.990234,6495,3.495598
1528971900,6494.990234,6495,6495,6495,0.528326
1528971960,6494.759766,6494.990234,6494.990234,6494.77002,1.2866
1528972020,6494.759766,6494.77002,6494.77002,6494.77002,0.1718
1528972080,6494.77002,6494.77002,6494.77002,6494.77002,2.5953
1528972140,6490.700195,6494.77002,6494.77002,6490.700195,5.236507
1528972200,6475.970215,6490.189941,6490.189941,6484.990234,21.865648
1528972260,6485,6485,6485,6485,2.598386
1528972320,6484.990234,6485,6485,6484.990234,1.065148
1528972380,6484.990234,6493.399902,6485,6493.399902,50.029942
1528972440,6487.819824,6493.390137,6493.390137,6487.830078,26.213646
1528972500,6487.819824,6487.830078,6487.830078,6487.830078,0.276116
1528972560,6483.279785,6487.830078,6487.830078,6483.290039,0.55738
1528972620,6466.180176,6482.160156,6482.160156,6474.169922,45.097927
1528972680,6474.180176,6474.990234,6474.180176,6474.990234,1.31192
1528972740,6474.990234,6481.720215,6474.990234,6475,12.493027
1528972800,6474.990234,6475,6474.990234,6475,1.969753
1528972860,6475,6475,6475,6475,2.553683
1528972920,6475,6484.790039,6475,6484.790039,8.45989
1528972980,6484.790039,6484.799805,6484.799805,6484.790039,0.8951
1528973040,6484.790039,6484.799805,6484.799805,6484.799805,0.599429
1528973100,6479.399902,6484.790039,6484.790039,6484.22998,16.273193
1528973160,6479.100098,6483.069824,6480.97998,6481,2.909439
1528973220,6480.990234,6481,6480.990234,6481,0.0871
1528973280,6481,6481,6481,6481,0.4717
1528973340,6481,6483.569824,6481,6483.569824,0.29639
1528973400,6484.850098,6485,6484.850098,6485,0.127194
1528973460,6484.990234,6485,6484.990234,6484.990234,0.592056
1528973520,6484.990234,6485,6484.990234,6485,7.392621
1528973580,6485,6485,6485,6485,0.2732
1528973640,6485,6487.830078,6485,6487.830078,0.246454
1528973700,6484.839844,6487.830078,6487.830078,6487.830078,0.207673
1528973760,6487.819824,6487.830078,6487.830078,6487.830078,0.4569
1528973820,6487.830078,6487.830078,6487.830078,6487.830078,0.865
1528973880,6487.819824,6487.830078,6487.819824,6487.830078,0.1191
1528973940,6486.819824,6487.830078,6487.830078,6486.819824,0.4222
1528974000,6486.819824,6486.830078,6486.830078,6486.819824,3.134828
1528974060,6486.819824,6486.830078,6486.819824,6486.830078,2.4396
1528974120,6486.819824,6487.850098,6486.830078,6487.850098,2.022548
1528974180,6487.850098,6488.390137,6487.850098,6488.390137,3.261421
1528974240,6488.390137,6488.399902,6488.390137,6488.399902,1.7016
1528974300,6488.399902,6490,6488.399902,6490,1.7721
1528974360,6489.990234,6490,6489.990234,6490,4.766404
1528974420,6489.990234,6490,6489.990234,6490,1.397866
1528974480,6489.990234,6490,6490,6489.990234,3.870893
1528974540,6490,6490,6490,6490,1.987536
1528974600,6485.310059,6490,6490,6485.310059,7.4871
1528974660,6487.459961,6490.100098,6487.47998,6490.100098,0.849366
1528974720,6490.080078,6490.089844,6490.089844,6490.089844,0.2486
1528974780,6490.049805,6490.089844,6490.080078,6490.049805,0.5014
1528974840,6490.049805,6490.089844,6490.060059,6490.080078,1.8004
1528974900,6490.080078,6501.930176,6490.080078,6498.149902,6.149163
1528974960,6497.419922,6498.140137,6497.419922,6498.129883,3.091703
1528975020,6498.140137,6505,6498.140137,6505,21.284838
1528975080,6504.839844,6505,6504.839844,6505,6.91797
1528975140,6505,6511.310059,6505,6511.310059,30.507849
1528975200,6513.859863,6519.990234,6514.439941,6519.990234,17.564556
1528975260,6510.390137,6519.97998,6519.97998,6519.959961,6.252694
1528975320,6510.859863,6519.990234,6518.040039,6516.959961,4.877564
1528975380,6510.859863,6518.859863,6518.859863,6515.029785,1.053866
1528975440,6515.029785,6519.990234,6515.029785,6519.990234,3.19928
1528975500,6517.189941,6519.990234,6519.990234,6517.200195,0.7954
1528975560,6517.189941,6519.990234,6517.200195,6517.189941,6.080693
1528975620,6517.200195,6519.990234,6517.200195,6519.97998,6.448851
1528975680,6519.97998,6519.990234,6519.990234,6519.990234,5.082968
1528975740,6519.97998,6519.990234,6519.990234,6519.990234,3.556319
1528975800,6519.97998,6519.990234,6519.990234,6519.990234,2.841977
1528975860,6519.97998,6519.990234,6519.97998,6519.990234,2.462582
1528975920,6519.990234,6519.990234,6519.990234,6519.990234,0.972875
1528975980,6519.990234,6524.109863,6519.990234,6522.970215,11.705941
1528976040,6522.959961,6522.970215,6522.959961,6522.959961,5.288531
1528976100,6522.959961,6523.25,6522.959961,6523.25,5.717875
